Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,Event,Round
1,RSA,Tatjana SCHOENMAKER,27,0.67,QUALIFIED,1900-01-01 00:02:21.570,31.69,35.89,36.59,37.40,Womens 200M Breaststroke,Heats
2,NED,Tes SCHOUTEN,23,0.67,QUALIFIED,1900-01-01 00:02:23.080,32.04,36.16,37.31,37.57,Womens 200M Breaststroke,Heats
3,USA,Kate DOUGLASS,22,0.69,QUALIFIED,1900-01-01 00:02:23.440,32.79,36.61,36.93,37.11,Womens 200M Breaststroke,Heats
4,CHN,Shiwen YE,28,0.68,QUALIFIED,1900-01-01 00:02:23.670,33.00,36.36,37.01,37.30,Womens 200M Breaststroke,Heats
5,JPN,Satomi SUZUKI,33,0.66,QUALIFIED,1900-01-01 00:02:23.800,32.62,36.71,36.93,37.54,Womens 200M Breaststroke,Heats
6,RSA,Kaylene CORBETT,25,0.74,QUALIFIED,1900-01-01 00:02:23.850,32.54,36.63,36.59,38.09,Womens 200M Breaststroke,Heats
7,IRL,Mona MC SHARRY,23,0.69,QUALIFIED,1900-01-01 00:02:23.980,32.95,36.11,36.71,38.21,Womens 200M Breaststroke,Heats
8,AUS,Jenna STRAUCH,27,0.72,QUALIFIED,1900-01-01 00:02:24.380,33.23,36.48,36.52,38.15,Womens 200M Breaststroke,Heats
9,ESP,Jessica VALL MONTERO,35,0.69,QUALIFIED,1900-01-01 00:02:24.520,32.90,36.59,37.12,37.91,Womens 200M Breaststroke,Heats
10,LTU,Kotryna TETEREVKOVA,22,0.70,QUALIFIED,1900-01-01 00:02:24.590,32.98,36.75,36.66,38.20,Womens 200M Breaststroke,Heats
11,USA,Lilly KING,27,0.66,QUALIFIED,1900-01-01 00:02:24.910,32.42,37.20,37.98,37.31,Womens 200M Breaststroke,Heats
12,CAN,Kelsey Lauren WOG,25,0.65,QUALIFIED,1900-01-01 00:02:25.110,32.78,36.98,37.54,37.81,Womens 200M Breaststroke,Heats
13,CAN,Sydney PICKREM,27,0.74,QUALIFIED,1900-01-01 00:02:25.450,33.70,37.43,37.05,37.27,Womens 200M Breaststroke,Heats
14,AUS,Ella RAMSAY,20,0.67,QUALIFIED,1900-01-01 00:02:25.610,32.81,37.23,38.10,37.47,Womens 200M Breaststroke,Heats
15,ITA,Francesca FANGIO,28,0.67,QUALIFIED,1900-01-01 00:02:25.850,33.28,36.53,37.70,38.34,Womens 200M Breaststroke,Heats
16,CZE,Kristyna HORSKA,26,0.75,QUALIFIED,1900-01-01 00:02:26.280,33.11,37.07,37.39,38.71,Womens 200M Breaststroke,Heats
17,SUI,Lisa MAMIE,25,0.74,ELIMINATED,1900-01-01 00:02:26.390,32.97,37.28,37.67,38.47,Womens 200M Breaststroke,Heats
18,ARG,Macarena CEBALLOS,29,0.66,ELIMINATED,1900-01-01 00:02:26.550,33.29,37.00,37.35,38.91,Womens 200M Breaststroke,Heats
19,DEN,Thea BLOMSTERBERG,22,0.75,ELIMINATED,1900-01-01 00:02:27.810,33.62,36.93,38.01,39.25,Womens 200M Breaststroke,Heats
20,SWE,Sophie HANSSON,25,0.74,ELIMINATED,1900-01-01 00:02:28.100,33.06,37.60,38.18,39.26,Womens 200M Breaststroke,Heats
21,AIN,Alina ZMUSHKA,27,0.67,ELIMINATED,1900-01-01 00:02:28.190,33.59,36.70,38.34,39.56,Womens 200M Breaststroke,Heats
22,SGP,En Yi Letitia SIM,21,0.66,ELIMINATED,1900-01-01 00:02:29.460,32.87,37.22,38.45,40.92,Womens 200M Breaststroke,Heats
23,EST,Eneli JEFIMOVA,17,0.72,ELIMINATED,1900-01-01 00:02:30.680,33.09,37.84,39.38,40.37,Womens 200M Breaststroke,Heats
